episode,return,steps,epsilon,mean_loss
203,-162.05599999999953,120,0.709311875,0.6524708906809489
204,-16.727999999999874,120,0.707886875,0.6391297700504462
205,-8.325999999999956,120,0.706461875,0.6544626923898856
206,-36.55999999999992,120,0.705036875,0.6155662517994642
207,-113.45799999999983,120,0.703611875,0.6441233463585376
208,-137.64999999999958,120,0.702186875,0.6580767720937729
209,-75.08999999999995,120,0.700761875,0.6712390263875325
210,20.370000000000246,120,0.699336875,0.6835140123963356
211,-113.42400000000002,120,0.697911875,0.6482689753174782
212,-41.45399999999978,120,0.6964868750000001,0.6348540393014749
213,20.092000000000155,120,0.695061875,0.6586386106908322
214,-88.89999999999996,120,0.693636875,0.6482344634830952
215,-95.37199999999996,120,0.692211875,0.658799326668183
216,-68.0359999999996,120,0.690786875,0.6459030479192733
217,-94.04200000000009,120,0.689361875,0.6452498187621435
218,-131.15199999999967,120,0.687936875,0.6220894200106462
219,-83.96999999999949,120,0.6865118750000001,0.6546916437645753
220,-102.11599999999973,120,0.6850868750000001,0.6384915468593438
221,-134.41199999999984,120,0.6836618750000001,0.6034646697342396
222,-16.413999999999874,120,0.6822368750000001,0.6344878561794758
223,-29.661999999999995,120,0.6808118750000001,0.6438299375275771
224,9.732000000000092,120,0.6793868750000001,0.6882190279662609
225,-9.99399999999984,120,0.677961875,0.6572761562963326
226,-100.29599999999968,120,0.676536875,0.630533450593551
227,-96.24399999999932,120,0.675111875,0.6376749205092589
228,-12.267999999999905,120,0.673686875,0.6354034004112085
229,-11.148000000000058,120,0.672261875,0.6170634609957536
230,-149.71799999999968,120,0.670836875,0.6078579666713874
231,-4.991999999999937,120,0.669411875,0.6243441338340442
232,-32.77399999999982,120,0.667986875,0.6320452887564898
233,-23.811999999999557,120,0.666561875,0.6316994555294514
234,-129.34399999999957,120,0.665136875,0.6248488999903202
235,-119.66999999999976,120,0.663711875,0.6732087853054206
236,-118.52799999999962,120,0.6622868749999999,0.6322685293853283
237,15.852000000000034,120,0.6608618749999999,0.6435040732224783
238,-53.77799999999996,120,0.6594368749999999,0.6154510314265887
239,-74.59999999999962,120,0.658011875,0.6400698711474736
240,-45.433999999999436,120,0.656586875,0.6134822758535544
241,-15.892000000000012,120,0.655161875,0.6098053025702636
242,-50.888000000000076,120,0.653736875,0.6207256428897381
243,-86.1999999999995,120,0.652311875,0.6296174975732962
244,-77.35199999999969,120,0.650886875,0.6341615016261737
245,-76.76799999999963,120,0.649461875,0.5797186863919099
246,-148.3119999999995,120,0.6480368750000001,0.6005547364552816
247,-149.3099999999999,120,0.6466118750000001,0.5921061945458254
248,-111.30400000000039,120,0.645186875,0.6295584311087926
249,-111.51399999999958,120,0.643761875,0.6805400644739469
250,4.876000000000172,120,0.642336875,0.6512102112174034
251,-15.361999999999924,120,0.640911875,0.6630705108245214
252,-96.99999999999959,120,0.639486875,0.5985206733147304
253,-61.76599999999999,120,0.638061875,0.6379862370590369
254,-89.00200000000021,120,0.636636875,0.6323975950479508
255,-103.15799999999956,120,0.635211875,0.6220224396636088
256,-148.1280000000002,120,0.633786875,0.6461874191959699
257,-98.06999999999974,120,0.632361875,0.6658079000810783
258,-127.72199999999975,120,0.630936875,0.6573287469645341
259,-144.7379999999997,120,0.629511875,0.6593314918378989
260,-115.59799999999947,120,0.628086875,0.6087214514613152
261,-100.71999999999952,120,0.626661875,0.6214190902809302
262,-141.9879999999995,120,0.625236875,0.603678006430467
263,-58.44799999999988,120,0.623811875,0.6459981719652812
264,-95.47199999999985,120,0.622386875,0.6554609537124634
265,-53.889999999999944,120,0.620961875,0.6163029327988625
266,18.759999999999962,120,0.6195368750000001,0.6049245481689771
267,-38.5299999999997,120,0.6181118750000001,0.60065531929334
268,-0.3079999999998373,120,0.6166868750000001,0.6729552276432514
269,2.8659999999998744,120,0.6152618750000001,0.6459132527311643
270,-81.91599999999991,120,0.6138368750000001,0.6248751863837242
271,-155.0299999999997,120,0.612411875,0.6238493492205938
272,7.350000000000289,120,0.610986875,0.6152499601244926
273,-157.5199999999995,120,0.609561875,0.6193379652996858
274,-22.86000000000002,120,0.608136875,0.6204973608255386
275,-35.92399999999989,120,0.606711875,0.6052737792332967
276,-74.898,120,0.605286875,0.6446401074528694
277,-21.997999999999973,120,0.603861875,0.6027879757185777
278,-148.55399999999952,120,0.602436875,0.6579249682525794
279,10.009999999999843,120,0.601011875,0.6160065248608589
280,-114.88599999999958,120,0.599586875,0.6240112287302811
281,-202.93199999999942,120,0.598161875,0.6463379373153051
282,-55.67600000000006,120,0.5967368749999999,0.6180200214187305
283,-42.207999999999785,120,0.5953118749999999,0.6350168829162915
284,-100.47200000000016,120,0.5938868749999999,0.6039347025255363
285,-133.01599999999954,120,0.5924618749999999,0.6084430068731308
286,-8.88199999999972,120,0.591036875,0.5923808358609677
287,-9.218000000000014,120,0.589611875,0.578606761743625
288,-38.01599999999991,120,0.588186875,0.5670465941230456
289,-129.45199999999963,120,0.586761875,0.6727712668478489
290,-114.45799999999984,120,0.5853368750000001,0.614109909782807
291,16.366000000000007,120,0.5839118750000001,0.6074778559307258
292,-159.4039999999992,120,0.5824868750000001,0.5785136731962363
293,-70.97599999999989,120,0.5810618750000001,0.6222619046767552
294,-17.43199999999981,120,0.579636875,0.6066474405427774
295,-13.783999999999628,120,0.578211875,0.572927421828111
296,-66.98799999999996,120,0.576786875,0.69273555179437
297,-38.56799999999976,120,0.575361875,0.6147539431850115
298,-88.78999999999994,120,0.573936875,0.6540949453910192
299,-11.70399999999983,120,0.572511875,0.5989726300040881
300,-101.76999999999978,120,0.571086875,0.5889618255198001
301,-24.33799999999982,120,0.569661875,0.5763072684407234
302,-94.39999999999958,120,0.568236875,0.5700207953651746
303,-4.011999999999917,120,0.566811875,0.6013801390926043
304,1.2160000000000704,120,0.565386875,0.6246206007897854
305,-18.25999999999993,120,0.563961875,0.6003823245565096
306,-99.89999999999945,120,0.562536875,0.6361952605346839
307,-73.56199999999995,120,0.561111875,0.6081959960361322
308,-41.75200000000001,120,0.559686875,0.6304232301811378
309,-20.575999999999876,120,0.558261875,0.5731271393597126
310,-70.6439999999996,120,0.556836875,0.6269636315604051
311,-149.4019999999993,120,0.555411875,0.6194573633372784
312,-143.67599999999948,120,0.5539868750000001,0.6117689818143844
313,-13.663999999999959,120,0.5525618750000001,0.612708372126023
314,-52.758000000000095,120,0.5511368750000001,0.6122302805384
315,-110.79399999999964,120,0.5497118750000001,0.6209437596301238
316,-103.7459999999999,120,0.5482868750000001,0.5918093726038933
317,-125.21799999999953,120,0.546861875,0.5925727675358454
318,-14.156000000000024,120,0.545436875,0.5584096595644951
319,14.457999999999993,120,0.544011875,0.5896182576815288
320,-21.635999999999658,120,0.542586875,0.5985078069070975
321,-43.33199999999994,120,0.541161875,0.6321611419320107
322,-63.42000000000001,120,0.539736875,0.6208821877837181
323,-32.88399999999977,120,0.538311875,0.632851471255223
324,-108.19799999999967,120,0.536886875,0.6023534727593263
325,-14.28999999999997,120,0.535461875,0.6090031310915947
326,-68.79999999999957,120,0.534036875,0.608838394532601
327,-100.85799999999975,120,0.532611875,0.6411992773413658
328,-40.29199999999974,120,0.531186875,0.6281603440642357
329,-22.347999999999693,120,0.5297618749999999,0.5873074152817329
330,-65.60199999999993,120,0.5283368749999999,0.557873239616553
331,-41.6399999999998,120,0.5269118749999999,0.624159034093221
332,-107.69399999999995,120,0.525486875,0.613052245726188
333,-0.07999999999989749,120,0.524061875,0.5986627236008644
334,-64.29399999999967,120,0.5226368750000001,0.6206365391612053
335,-133.04200000000003,120,0.521211875,0.5869566718737285
336,-113.42599999999983,120,0.5197868750000001,0.613301682472229
337,-61.93999999999972,120,0.518361875,0.597886145611604
338,-102.33999999999995,120,0.5169368750000001,0.6176128027339777
339,-69.00000000000004,120,0.5155118750000001,0.6070080076654752
340,-96.72199999999971,120,0.514086875,0.6131972995897134
341,-58.14199999999921,120,0.512661875,0.5935092133780321
342,-69.60799999999963,120,0.511236875,0.6246072528262933
343,8.164000000000122,120,0.509811875,0.6198749785621961
344,-123.65799999999973,120,0.508386875,0.6265089832246303
345,-37.677999999999784,120,0.506961875,0.5857777565717697
346,-56.27399999999986,120,0.505536875,0.6318403271337351
347,8.779999999999848,120,0.504111875,0.6534367181360722
348,-84.74399999999964,120,0.502686875,0.60626724883914
349,-30.699999999999772,120,0.501261875,0.635424851377805
350,-97.38799999999996,120,0.49983687500000007,0.5858200972278913
351,-58.90999999999955,120,0.49841187499999995,0.6180118580659231
352,-102.13799999999964,120,0.49698687500000005,0.5975875911613305
353,-26.14400000000005,120,0.49556187500000004,0.5787966271241506
354,-154.14199999999994,120,0.49413687500000003,0.622226836035649
355,-78.2279999999999,120,0.492711875,0.5580177508294583
356,-9.955999999999719,120,0.491286875,0.5923817574977874
357,-34.6339999999998,120,0.4898618750000001,0.6141162698467573
358,-74.93599999999961,120,0.488436875,0.6204646475613117
359,4.655999999999837,120,0.4870118750000001,0.6141017864147822
