method,tid,time,assigned_core,exec_big,exec_little,slack,deadline,arrival
dist_mean,143,600,1,5,8,25,625,600
dist_mean,144,600,1,5,8,25,625,600
dist_mean,145,600,1,7,11,23,623,600
dist_mean,146,600,1,12,19,52,652,600
dist_mean,147,600,1,6,10,40,640,600
dist_mean,148,600,1,5,7,16,616,600
dist_mean,149,600,1,5,7,22,622,600
dist_mean,150,600,1,9,14,49,649,600
dist_mean,151,600,1,10,16,52,652,600
dist_mean,152,600,1,5,7,23,623,600
dist_mean,153,600,1,8,12,33,633,600
dist_mean,154,600,0,3,5,17,617,600
dist_mean,155,600,1,4,6,22,622,600
dist_mean,156,600,0,3,5,11,611,600
dist_mean,157,600,1,12,19,41,641,600
dist_mean,158,600,0,2,3,12,612,600
dist_mean,159,600,1,8,13,28,628,600
