method,tid,time,assigned_core,exec_big,exec_little,slack,deadline,arrival
ddqn,150,600,1,9,14,49,649,600
ddqn,151,600,1,10,16,52,652,600
ddqn,152,600,1,5,7,23,623,600
ddqn,153,600,1,8,12,33,633,600
ddqn,154,600,1,3,5,17,617,600
ddqn,155,600,1,4,6,22,622,600
ddqn,156,600,1,3,5,11,611,600
ddqn,157,600,1,12,19,41,641,600
ddqn,158,600,1,2,3,12,612,600
ddqn,159,600,1,8,13,28,628,600
